rid	qln	items
A17VR5U0ZHW1LD	1	['B005SUHPO6']
A17VR5U0ZHW1LD	5	['B00937ZNDK']
A17W0GMB0YY83M	1	['B0085JRQIM']
A17W0GMB0YY83M	12	['B0085GI1S4']
A17W0GMB0YY83M	23	['B0085JRQIM']
A17W0GMB0YY83M	6	['B005FPT380']
A17WCM5NQXCER2	1	['B004WXC4P0']
A17WCM5NQXCER2	5	['B005XQSN9G']
A17WK8TY9H53R	10	['B007JZGO6S', 'B001XXUOQI']
A17WKG6ZXE7Y3O	1	['B0097MF0PC']
A17WMO9KR890JH	12	['B00CD0I8EK']
A17WMO9KR890JH	14	['B00CD0I8EK']
A17WMUPWHYJPVR	1	['B0058W4KAG']
A17WZ7346SA8EG	31	['B00D63QAGG']
A17X3EJ7D3NP73	1	['B004MB66B0', 'B002ZQ8FNQ']
A17X3EJ7D3NP73	10	['B00DUCB65I']
A17X3EJ7D3NP73	50	['B00CCEJ6MK']
A17X4ARHNPR6JZ	1	['B0094CX0PW', 'B005UC13P4', 'B009B3TVX4']
A17XLVKJGSXXCC	1	['B00BAQW7PO', 'B008LFTCAK', 'B00ASJMY3E', 'B0097MB2OK']
A17XLVKJGSXXCC	11	['B00BAQW7PO', 'B00ASJMY3E']
A17XLVKJGSXXCC	12	['B008LFTCAK']
A17XX8721LEILW	17	['B00BUUBCCE']
A17XYGY1FAXI5J	1	['B004BOWHZ2']
A17XYGY1FAXI5J	12	['B0053OEM0M']
A17Y6JWACWLAXE	1	['B006T8JT3Q', 'B006H9Z9RW', 'B005VNJZ0C']
A17YBCQHZTGUM9	10	['B007JZGO6S']
A17YBCQHZTGUM9	17	['B0050FDFQQ']
A17YCGBZZUFJ5C	1	['B008HU23PA', 'B009EJPDP0']
A17YCGBZZUFJ5C	14	['B00COYOAYW']
A17YCGBZZUFJ5C	23	['B00COYOAYW']
A17YCGBZZUFJ5C	28	['B00COYOAYW']
A17YLTGPEC0RWE	1	['B008LFTCAK', 'B00B9OTEVM']
A17YLTGPEC0RWE	12	['B008LFTCAK']
A17YLTGPEC0RWE	17	['B005YW1O8Q']
A17YLTGPEC0RWE	32	['B00B9OTEVM']
A17YPTSJ9UFDJ5	1	['B005BYSV7O']
A17YPTSJ9UFDJ5	12	['B0040I5CME']
A17Z2JEXBNWR40	4	['B0042I3UJE']
A17Z4YAZ4X1Q1O	1	['B004YM6FFY', 'B005SUHPO6']
A17Z4YAZ4X1Q1O	17	['B009HD44US']
A17Z4YAZ4X1Q1O	32	['B004YM6FFY']
A17Z5WY1VRDC7X	12	['B00BT8L2MW']
A17Z6P8WQJCSI6	1	['B00931ZVMY', 'B00F0TFGY6']
A17ZMY7MXXWGWX	15	['B005K7192G']
A17ZMY7MXXWGWX	37	['B005K7192G']
A17ZMY7MXXWGWX	5	['B005K7192G']
A17ZUG85QW182H	1	['B0076P4IXC', 'B006OSRZA0']
A17ZUG85QW182H	13	['B008GYN8R4']
A17ZZL9CT8K3UJ	10	['B00CIGOW7G']
A1801HRYO9LB6F	12	['B00BURIA3G']
A1801HRYO9LB6F	22	['B00AX9F47M']
A180CHR4QW89CA	1	['B005G21PGA']
A180GT4JL6MXKV	12	['B0084F4HY8', 'B009CFX998']
A180GT4JL6MXKV	27	['B0055PH0XA']
A180GT4JL6MXKV	77	['B0055PH0XA']
A180KZDFKTR71K	1	['B007KZQNOA']
A180KZDFKTR71K	10	['B005FUNYSA']
A180KZDFKTR71K	12	['B00BQ3FZ9G']
A180M5S4YX4KF	10	['B001P05K9K']
A180M5S4YX4KF	15	['B00AA6CS86']
A180M5S4YX4KF	30	['B00F2SKPIM']
A180M5S4YX4KF	37	['B00AA6CS86']
A180M5S4YX4KF	5	['B00AA6CS86']
A180S81PDH14B2	1	['B00BUIG6OK', 'B005Z34QA2']
A180S81PDH14B2	10	['B005GGBYJ4']
A180S81PDH14B2	16	['B003X26V50']
A180S81PDH14B2	3	['B00BW0X892']
A180S81PDH14B2	38	['B003X26V50']
A181Q8ANUIEGDX	1	['B005CMGZ9G']
A181VRKUJCXQV8	1	['B00DMKGPP4', 'B00FT370N8']
A1824JDQGDIKSZ	1	['B00E5V6CNE']
A1824JDQGDIKSZ	12	['B00DUFFPAW']
A1826PQW0XSN4L	1	['B0097MB2OK']
A182BL642WB691	1	['B0098FKHBU', 'B009XGZGZG', 'B002Q46EZ8']
A182BL642WB691	12	['B00444VM2S']
A182BL642WB691	15	['B004DHV84S']
A182BL642WB691	16	['B0049PNCKW']
A182BL642WB691	22	['B009XGZGZG']
A182BL642WB691	26	['B009XGZGZG']
A182DNWKOSW7FF	1	['B0052WLVIQ', 'B00DAPN8SI', 'B0054EBOIO', 'B009X9Z16W', 'B0054EQQXC']
A182DNWKOSW7FF	15	['B008OJF018']
A182DV9GYBQAT3	1	['B00GYD782A']
A182DV9GYBQAT3	12	['B00DHOLQE0']
A182EKEXZIKGO7	1	['B0098FKHBU']
A182EKEXZIKGO7	12	['B00CMDYX0G']
A182LVN6WX674A	31	['B001CFAQVA']
A182P0GO8WE66S	12	['B00A6IG10Y']
A182XHMB3DOH56	1	['B00F57LWIC']
A182XHMB3DOH56	23	['B00F57LWIC']
A1833X3LQ0BHQU	1	['B00DMKGPP4']
A1834ZKT461Z3D	1	['B00BO5FXV6', 'B00A9Q4JKM', 'B008410J4E']
A1834ZKT461Z3D	12	['B0085GI1S4']
A1834ZKT461Z3D	19	['B008410J4E']
A1836KX8HXAPDG	12	['B0085BD0Z8']
A183KNZQ0U2AWV	10	['B005LGUDKK']
A183KNZQ0U2AWV	31	['B005F9W6DU']
A183L75XEML7RN	1	['B003SX0OW0', 'B00G5JV7P2']
A183UUSI1QHZGP	1	['B00DMKGPP4', 'B009OUJRO2']
A183UUSI1QHZGP	12	['B00BT7RAPG', 'B00654ILYM']
A183UUSI1QHZGP	14	['B00BT7RAPG']
A18443LNRDVJ0M	1	['B00GSZILCU']
A18443LNRDVJ0M	12	['B00C9KZX2E']
A1847XXVEA8QUK	1	['B006CV6VYK']
A1848ABK2ACS3L	1	['B0069GQYYA', 'B006H9Z9YK', 'B006T8K2S2']
A184Q8BWVNQTUB	1	['B0093IHVJI', 'B005KU5T92', 'B00E486Q9I', 'B0094CWZ7G']
A184Q8BWVNQTUB	10	['B00EU7ZV6C']
A185ETBMSCMP9G	1	['B00EUM88HG', 'B004WIQW3U']
A185ETBMSCMP9G	23	['B004WIQW3U']
A185M78GQUYF08	6	['B005LISQ0W']
A185O1MX1RP964	1	['B005SUHPO6']
A185O1MX1RP964	12	['B001UO45SI', 'B000J4YU3A', 'B003ZD7NEK']
A185O1MX1RP964	15	['B001MEV8LI', 'B006U2NNBU']
A185O1MX1RP964	23	['B001KQFGTI']
A185O1MX1RP964	6	['B002UXQT2S']
A185OULSYMSD5G	1	['B004E5ZVL0']
A185OULSYMSD5G	16	['B002KQLUVU', 'B0034TZONM', 'B005HYU1YE']
A185PNGCA4LM40	12	['B00AG9Y2X6']
A185PNGCA4LM40	17	['B0067UPRQ4']
A185PNGCA4LM40	5	['B0067UPRQ4']
A186697K4XKXQL	17	['B005LFXBLE']
A186HE87X9N0C4	1	['B00HD7GQF6']
A186HE87X9N0C4	11	['B00HD7GQF6']
A186HE87X9N0C4	6	['B0093P0ND2']
A186IT50WNONRO	1	['B00KB9AWEE']
A186IT50WNONRO	33	['B00E3OL5U8']
A186IT50WNONRO	5	['B00HCMZUZE']
A186LGBEBKCHZD	1	['B007F8XJQ2']
A186LGBEBKCHZD	3	['B005NC86BU']
A186W34N45FX8K	30	['B00AB7FVCY']
A186WJ3EFN42GH	1	['B006PABOKO', 'B00AHSW9UY']
A186WJ3EFN42GH	11	['B00AHSW9UY']
A186WJ3EFN42GH	16	['B005BE0BNQ']
A187AWR2CL8PBJ	1	['B0054T2BBI', 'B006PHABRO']
A187AWR2CL8PBJ	12	['B004GX2GMC']
A187EM58V3GE2E	1	['B001FVPU9O']
A187EM58V3GE2E	3	['B0061XLXX8']
A188IEFSVR7RPO	1	['B0071AQNVW', 'B006YZWE6S']
A188OD9PIF7WNH	17	['B009HD44US']
A188OVHH9F3L0I	1	['B00CV11X84']
A188OVHH9F3L0I	12	['B005SKGJX4']
A188OVHH9F3L0I	3	['B005LBEGAI']
A188OVHH9F3L0I	5	['B00CV11X84']
A188X4S8FERY0B	15	['B0013G8PTS']
A188X4S8FERY0B	34	['B0013G8PTS']
A189B0RDFRUFZ0	1	['B003X5OBYU', 'B00AWNTX8U', 'B004BWKIRI', 'B009339N08']
A189B0RDFRUFZ0	11	['B00AWNTX8U', 'B004BWKIRI', 'B009339N08']
A189H323MO3GHJ	1	['B005BYSV7O', 'B003SX0P1A']
A189H323MO3GHJ	32	['B003SX0P1A']
A189NOYH6D998Q	1	['B00AWNTX8U', 'B005LUBUT4', 'B006WVZT3O']
A189NOYH6D998Q	11	['B00AWNTX8U']
A189OEG9EBUJ1Q	3	['B00AAJM81A']
A189RK1IQKGBAL	1	['B00BV96VDY', 'B00BYJXGP2']
A189RK1IQKGBAL	12	['B00BT7RAPG']
A189RK1IQKGBAL	14	['B00BT7RAPG']
A189RK1IQKGBAL	31	['B00C4CVSSU', 'B005IPL4BG']
A189RR20ZUAX40	1	['B00DY1VL9G', 'B009NR7K2W', 'B004TSEC1W']
A189V2CGNA2SV3	1	['B00CICWVC8']
A18A0ZJP6YHVPE	1	['B005LVU37S']
A18A6U8WYYJG6R	4	['B0051LIRT4']
A18AIO106T6RMD	1	['B0042I5FS8', 'B0054HA45A']
A18AIO106T6RMD	10	['B004W3LKZ0']
A18ANDK54GRLG	1	['B00I3PRSNQ']
A18ANDK54GRLG	12	['B00I3MFCIW']
A18APJULAWONNE	16	['B0036DDT74']
A18APU997KSGM1	1	['B00B8ZLHU8']
A18APU997KSGM1	16	['B00A29WCA0']
A18AWY0Y4IKKJD	1	['B005A2UR4W', 'B00DG2534W']
A18B9VERWYSNZ	1	['B00BJN35SQ']
A18B9VERWYSNZ	10	['B00CE28022']
A18BJA7Y02ZH03	1	['B00CP1QOQ6']
A18BJA7Y02ZH03	6	['B0009B0IX4']
A18BSU9CXATPVG	1	['B0076529QA']
A18C3U6LXTGVW7	1	['B005Y5VX7U', 'B00CMXV6BK', 'B00EZD91YO']
A18C8P6TY6F3WM	1	['B006K5IX6W', 'B006WVZT3O']
A18CFAP6PAMQAN	1	['B00C78W0ME']
A18CFAP6PAMQAN	19	['B00C78W0ME']
A18CFAP6PAMQAN	20	['B009ABEA7E']
A18CFAP6PAMQAN	24	['B00C78W0ME']
A18CFAP6PAMQAN	4	['B005AV6C3S']
A18CL1R8CVER69	1	['B0059DLLJC', 'B004WXC4P0']
A18CVIIAU50N06	1	['B006OU8JC6', 'B007PY653A']
A18D42SW2SSV6V	1	['B00C1SC0WK']
A18D458FM7UVBL	1	['B00696W41C']
A18D458FM7UVBL	15	['B0013G8PTS']
A18D458FM7UVBL	34	['B0013G8PTS']
A18DLUVG3GLCM1	10	['B00COL0B16']
A18DLUVG3GLCM1	12	['B004FSKVIE']
A18DR943CGNJ8R	10	['B000J6FWTO']
A18DRS5D8L2WCG	1	['B005IGM86U', 'B00AK95F56']
A18DRS5D8L2WCG	10	['B00CIGOW7G']
A18DRS5D8L2WCG	11	['B00AK95F56']
A18DRS5D8L2WCG	28	['B008ZE7G3W']
A18DRS5D8L2WCG	3	['B005CRPU74']
A18DTHZDQC1I5S	1	['B0036VNU0C', 'B002MZZSEE']
A18DTHZDQC1I5S	4	['B00CESN60M']
A18DV8O7MFXOND	1	['B005XBLAZU', 'B006T8JT3Q']
A18E58B7DE18TG	1	['B009LULYGE', 'B009GSB1KU', 'B009GEHMPC']
A18E9WZ22NJOEW	1	['B001FVPU9O', 'B006HDD56U']
A18EA7MNLXP9H5	1	['B000H13M2K']
A18EA7MNLXP9H5	12	['B004A83PE6', 'B007FIJ5WO']
A18EA7MNLXP9H5	15	['B003UC93WQ']
A18ECU3R3YMZBD	1	['B005BYSV7O', 'B00F3YSN5M']
A18ECU3R3YMZBD	11	['B00F3YSN5M']
A18ECU3R3YMZBD	27	['B0094M6MJ8']
A18EH9SOEZN4XO	1	['B005JHIYLG', 'B0069Y3AS0', 'B006GZYB26']
A18EH9SOEZN4XO	15	['B00CEZJT2E']
A18EH9SOEZN4XO	19	['B006GZYB26']
A18EH9SOEZN4XO	37	['B00CEZJT2E']
A18EH9SOEZN4XO	5	['B00CEZJT2E']
A18EI9Y4XV3Q52	1	['B0043RTJFI', 'B0051UH9Q2']
A18EJ44LWWUO11	1	['B00GXXHGLE']
A18EJ44LWWUO11	26	['B00APLXD62']
A18EL7T388MSRJ	1	['B0093IHVJI']
A18EL7T388MSRJ	12	['B008YJEBUO']
A18ELSI3X0Y2B8	1	['B0092TQHP2', 'B009E87SD6', 'B003M2Y3UQ']
A18ELSI3X0Y2B8	17	['8288862993']
A18ET4QQX5OGFL	1	['B005SUHRVC', 'B005SUHPO6', 'B004TSEC1W', 'B006JW37K8']
A18EU4GV8OLOBB	10	['B00FSKL40W', 'B00CUU6K5M']
A18F22ZD8W7VVM	1	['B009M2S0UE']
A18F22ZD8W7VVM	13	['B0052QLDQW']
A18F22ZD8W7VVM	27	['B005O5WSTW']
A18FEBPBKK2ND3	1	['B005JHIYLG', 'B007J7IKVI', 'B009JBKMJU', 'B00CJFXXEE']
A18FLOC8YQY0P8	1	['B00BWX7DMM']
A18FLOC8YQY0P8	10	['B001B42ZNO']
A18FLOC8YQY0P8	23	['B007AQF0WK']
A18FLOC8YQY0P8	6	['B007MC6WGK']
A18FOCXT82K1WE	1	['B004SKBTSK']
A18FOCXT82K1WE	10	['B001XXUOQI']
A18FPUOOMPWYF7	1	['B004BW9SA6']
A18FPUOOMPWYF7	22	['B007AK1WDM']
A18FUHNBP90IB4	1	['B002VPE1NY', 'B00GAQ8938', 'B00JMPXK4W']
A18FUHNBP90IB4	11	['B00GAQ8938']
A18FUHNBP90IB4	22	['B002VPE1NY']
A18FYJIBSTG9U7	1	['B0056AWLQ0']
A18G1FGYT38GDO	12	['B0041F63II']
A18G1FGYT38GDO	34	['B004FOXFIG']
A18G6ING6A8XGY	15	['B00HEARSQ8']
A18G7VYW3C246X	1	['B0042TY68C', 'B00G7URWR6']
A18G913CY3JSA1	15	['B00EK3UHS8']
A18G913CY3JSA1	16	['B00A29WCA0']
A18G913CY3JSA1	17	['B00EK3UHS8']
A18G913CY3JSA1	27	['B00B3L6OG4']
A18G913CY3JSA1	3	['B007PZMD7G']
A18G913CY3JSA1	5	['B00EK3UHS8']
A18GFCZFVRVO3F	15	['B0013G8PTS']
A18GFCZFVRVO3F	17	['B009HD44US', 'B00FME4NAW']
A18GFCZFVRVO3F	34	['B0013G8PTS']
A18GHIFQ5VOGX6	1	['B00EZB3QKG']
A18GM995O50RX8	12	['B008YJEBUO']
A18GN4IJ19SEDG	1	['B00805SEKK']
A18GN4IJ19SEDG	20	['B009AB557I']
A18GN4IJ19SEDG	27	['B004M8ST18']
A18H4HD3X8OHWR	1	['B005SUHRVC', 'B004BWKIRI']
A18H4HD3X8OHWR	11	['B004BWKIRI']
A18H4HD3X8OHWR	6	['B0009B0IX4']
A18HA1YIGKWI1O	12	['B00DUGJONA']
A18HA1YIGKWI1O	27	['B0090SB1CE']
A18HBWDA9R5CAZ	1	['B0070DGQW6', 'B00AOYN9PA']
A18HE80910BTZI	1	['B00C6PDG94']
A18HE80910BTZI	10	['B007G51X6C', 'B000FFLYBY']
A18HE80910BTZI	17	['B00HFEJNNO']
A18HE80910BTZI	27	['B00C6PDG94']
A18HE80910BTZI	6	['B005FPT380']
A18HJ8536I6PQI	10	['B007Z419BI']
A18HJ8536I6PQI	20	['B009P16FKY']
A18HJ8536I6PQI	4	['B002BSO4ZG']
A18HUIX9QWBNFZ	1	['B0090YGJ4I', 'B00BTIOOZE']
A18HUK8M1BLR63	31	['B001CFAQVA']
A18HUK8M1BLR63	6	['B004FOM9O2']
A18HZ81DV48IMW	1	['B00DSQSAEQ', 'B00CE3LM26']
A18I75PDDGSCUQ	1	['B0089E4050']
A18I75PDDGSCUQ	12	['B0084F4HY8']
A18IE8MYUA489U	1	['B00IXEZC94']
A18IE8MYUA489U	122	['B00ITILPZ4']
A18IE8MYUA489U	123	['B00ITILPZ4']
A18IE8MYUA489U	124	['B00ITILPZ4']
A18IE8MYUA489U	15	['B00ITILPZ4']
A18IE8MYUA489U	5	['B00ITILPZ4', 'B00E327OIM', 'B00BB5GQRE', 'B00FF3MCTE']
A18IUSH71LBL5V	10	['B007JZGO6S']
A18IUSH71LBL5V	12	['B003TML0V4']
A18IUSH71LBL5V	17	['B009HD44US']
A18IUSH71LBL5V	47	['B000HD79J0']
A18J3DAJLUMS1Z	1	['B00KB9AWEE']
A18JF0T0GOCORW	1	['B00JLL8DMG']
A18JF0T0GOCORW	6	['B000RZCI80']
A18JGHUBQ9RHTL	1	['B007J7IKVI', 'B0090YGJ4I']
A18JGMLC5U63YA	1	['B00BWE8CWQ']
A18JGMLC5U63YA	15	['B0013G8PTS']
A18JGMLC5U63YA	17	['B00BUUBCCE']
A18JGMLC5U63YA	34	['B0013G8PTS']
A18JLKN3248C6P	1	['B00ENOAYVY']
A18K0447AXPO8B	13	['B005R4L3AA']
A18K0447AXPO8B	28	['B0057GUFEI', 'B004ZL9IZI']
A18K1ODH1I2MVB	1	['B00AECECGW', 'B00BMCYYL6', 'B005REYOKQ', 'B0094CX0PW', 'B0093CDLM0', 'B00GR9Z18E', 'B00A9YJ48Q']
A18K1ODH1I2MVB	12	['B00BL5FBFW']
A18K1ODH1I2MVB	20	['B009ABEA7E', 'B007PWXV0M']
A18K4L5UHTRR0S	1	['B00713P0BS', 'B0070HVR8U']
A18K4L5UHTRR0S	12	['B005SKGJX4']
A18K4L5UHTRR0S	3	['B005NC86BU']
A18K94O1HEEFFP	6	['B0018MK2C0', 'B000PYJ4NK']
A18K94U1O6V7I3	1	['B0055AGUMW']
A18K94U1O6V7I3	12	['B003MIIRM0', 'B00BT7RAPG']
A18K94U1O6V7I3	14	['B00BT7RAPG']
A18KCPFT2YQOLT	1	['B0098FKHBU', 'B00C7CTA32', 'B005ZI33EM', 'B000IEDI66', 'B005LVU37S']
A18KCPFT2YQOLT	13	['B008BAUKSI']
A18KHGM44IZMEW	1	['B0040529N2', 'B007IJ7T50']
A18KHGM44IZMEW	10	['B001XXUOQI']
A18KHGM44IZMEW	25	['B007C5S3AU']
A18KNS6X7RQ0T8	1	['B005VNK2GI', 'B0058PHSHA']
A18KNS6X7RQ0T8	4	['B002BSO4ZG']
A18LJ72NBKZ6JC	12	['B004IN00A0']
A18LJ72NBKZ6JC	45	['B004U1DGGA']
A18LVHY887HL23	1	['B005SUHRVC']
A18LVHY887HL23	12	['B005X0UJS0', 'B00DEQ7T9W']
A18M8BRANGLM8X	1	['B005UC13P4', 'B00CA9D6VY']
A18MB7TP1W0G9Q	1	['B00IO8NI0Y']
A18MBO1U4DPY20	0	['B00B4O7GIA']
A18MBO1U4DPY20	1	['B004FPZBSM', 'B00B4O7GIA', 'B0093IHX7I', 'B00933N22S']
A18MBO1U4DPY20	14	['B00933N22S']
A18MBO1U4DPY20	16	['B004KFXTOA', 'B005LSS3L4']
A18MBO1U4DPY20	31	['B002M3TLLC']
A18MBO1U4DPY20	5	['B006YJBITS']
A18MQOW2I6HRJP	1	['B00E5V6CNE']
A18MQOW2I6HRJP	16	['B00AEK5V5K']
A18MSEGDTQJE08	13	['B005G00TJG']
A18N6P1LXMTLZ0	1	['B00FYVBO5U']
A18N6P1LXMTLZ0	10	['B00JWY5TRY']
A18N6P1LXMTLZ0	11	['B00FYVBO5U']
A18N6YPORZBLRK	12	['B00AGABISW']
A18N6YPORZBLRK	3	['B00A6U0N56']
A18NHBZV1065S5	1	['B004WLXB6S']
A18NHBZV1065S5	12	['B004ZGR6UM']
A18NHBZV1065S5	17	['B0069R13JA']
A18NLLRJU7PCVU	1	['B00ATNSFD2', 'B00EUWX01U']
A18NLLRJU7PCVU	5	['B00C119XMM']
A18NOHFD1NRXHB	11	['B00CJP10WQ']
A18NOHFD1NRXHB	12	['B00DD2J1DY']
A18OC5PL661NX5	1	['B0090E8LJY', 'B00BX3EGIA']
A18OI54BN02LHN	1	['B00BW6GH76']
A18OI54BN02LHN	5	['B00BFY599C']
A18OKRXTPZC31B	1	['B00B2A1N7Q']
A18OT5BHCTEFDP	1	['B00CKX9Q4Q', 'B00831QIF4', 'B005VNK0BU']
A18OT5BHCTEFDP	12	['B00C5SMPA8']
A18P98QS2M3K6Z	135	['B00511PS3C']
A18P98QS2M3K6Z	137	['B00511PS3C']
A18P98QS2M3K6Z	17	['B00511PS3C']
A18P98QS2M3K6Z	37	['B00511PS3C']
A18PDGHULIJWA5	1	['B000H13M2K']
A18PDGHULIJWA5	16	['B00C7ATZMK']
A18PDGHULIJWA5	23	['B00C7ATZMK']
A18PKWCVNKLCFQ	1	['B004VN09LM', 'B00I8Q490A']
A18PWDGYI9AK7A	1	['B0062V4KG6', 'B008QI05X0', 'B00BW6GH76']
A18PWDGYI9AK7A	12	['B005XQGBE0']
A18PZYZCKZOPOM	1	['B00933884K', 'B008DM10WE', 'B00GRS1NO6']
A18QPOFVVJ8NWQ	1	['B004CMXEIW']
A18QPOFVVJ8NWQ	3	['B003ZFL308']
A18QY4C6BYRN8T	17	['B00BUUBCCE']
A18R50B4PS1Z5X	10	['B0084221KS', 'B00CIGOW7G']
A18R80CE34QSRX	1	['B0046D3T5A', 'B004L5QM8Y']
A18RD6HJYS0GCQ	1	['B008VKVHRG', 'B00DZEWVAA']
A18RD6HJYS0GCQ	11	['B008VKVHRG']
A18RHC7GVC96YU	1	['B00EB49CFU']
A18RHC7GVC96YU	13	['B00GY6X9RK']
A18ROWCLFY81ZZ	12	['B00550D9MG']
A18ROZYHYC5DU7	1	['B006W03NVK']
A18ROZYHYC5DU7	16	['B00BV1MVJ0']
A18RWKOE26ZM4V	1	['B007R2SD26', 'B007WGFN8E']
A18RZLFVFN6697	1	['B00BQZWWKY', 'B00AW2QT8I']
A18RZLFVFN6697	19	['B00AW2QT8I']
A18RZLFVFN6697	5	['B00596RFYY']
A18S226P3AFUCL	12	['B00DHOLQE0']
A18S226P3AFUCL	16	['B0090AAOUW']
A18S226P3AFUCL	47	['B0055VT43I']
A18S2VGUH9SCV5	0	['B009M27MBC']
A18S2VGUH9SCV5	1	['B00CIRLJPI']
A18S2VGUH9SCV5	12	['B005G0DEG6']
A18S2VGUH9SCV5	135	['B00511PS3C']
A18S2VGUH9SCV5	137	['B00511PS3C']
A18S2VGUH9SCV5	16	['B003HC8F3W']
A18S2VGUH9SCV5	17	['B00511PS3C']
A18S2VGUH9SCV5	27	['B005G606O8', 'B004AP9638']
A18S2VGUH9SCV5	31	['B002M3TLLC', 'B002JCSAWW']
A18S2VGUH9SCV5	32	['B00CIRLJPI']
A18S2VGUH9SCV5	37	['B00511PS3C']
A18S2VGUH9SCV5	47	['B004ULOZRY']
A18S84VJR3XI9A	1	['B009M5J9HY']
A18S9QVTUCCE4E	1	['B009N5OX2E']
A18S9QVTUCCE4E	12	['B0052NNXDG', 'B004X4LNGE']
A18S9QVTUCCE4E	6	['B0024V0I0A']
A18SMUR41E3R25	1	['B00974L0EA']
A18SMUR41E3R25	16	['B0058GWR8O']
A18SMUR41E3R25	17	['B009HD44US']
A18SMUR41E3R25	23	['B00974L0EA']
A18SQLPP5SPS7A	1	['B009LY0LJQ']
A18SQLPP5SPS7A	12	['B00AGABISW']
A18TOJINN4ZXQV	1	['B00BZGQ7ZA']
A18TOJINN4ZXQV	15	['B00CTK6SLE']
A18TOJINN4ZXQV	34	['B00CTK6SLE']
A18TW6ZA16VUM2	17	['B001F2Q0BU']
A18TW6ZA16VUM2	34	['B001DDG2FA']
A18TW6ZA16VUM2	6	['B0064YPSMQ']
A18TY34CAV6TYR	1	['B009V1EHOO']
A18U05IGMK1FVV	12	['B0014Z1B80']
A18U05IGMK1FVV	28	['B000HJC56G']
A18U05IGMK1FVV	8	['B0099SFGF8']
A18U23JWTMQX5C	1	['B0054EQQXC', 'B0059DLLJC']
A18U49406IPPIJ	0	['B00EB1BY36']
A18U49406IPPIJ	1	['B00GXXHGLE', 'B00GOHV7JQ', 'B00IVTLVTG', 'B00DU0E6WK', 'B00IY9K72K']
A18U49406IPPIJ	10	['B00HDQIX8K', 'B00IK5CZHI', 'B00JDOEPAU']
A18U49406IPPIJ	11	['B00GOHV7JQ']
A18U49406IPPIJ	12	['B00BJS9F2Q', 'B00C80S4W6', 'B00CK8XOAI', 'B00BUA69Q8']
A18U49406IPPIJ	15	['B00H4PDH40', 'B00AANMVNQ', 'B00GN5U5N8', 'B00FCISG6K']
A18U49406IPPIJ	17	['B00GFF45KK', 'B00E2YI052', 'B00JP0W4OG']
A18U49406IPPIJ	19	['B00DU0E6WK']
A18U49406IPPIJ	27	['B00JNJPS4W', 'B00HRKI5V2', 'B00I58VAZS', 'B00HRLEKG0']
A18U49406IPPIJ	37	['B00AANMVNQ', 'B00FCISG6K']
A18U49406IPPIJ	45	['B00HUIL310']
A18U49406IPPIJ	5	['B00C13YSIO', 'B00EEHNNKY', 'B00AANMVNQ', 'B007HUTXV8', 'B00E327OIM', 'B00EB1BY36']
A18U4IC9HWTHMH	1	['B007K3RNDW', 'B008I7C8MU']
A18U4IC9HWTHMH	12	['B004FSKVIE']
A18U855GPIYOMU	1	['B0054T2BBI', 'B004RDH8OM', 'B006K42POE']
A18U855GPIYOMU	15	['B003UC93WQ']
A18U855GPIYOMU	26	['B004RDH8OM']
A18UO503AZ8AE1	1	['B009339N08']
A18UO503AZ8AE1	11	['B009339N08']
A18UO503AZ8AE1	27	['B00CUKEZ5E']
A18UYIBJGDWIWA	1	['B00CEQJC4S']
A18UYIBJGDWIWA	13	['B009IJAWEI']
A18VCM7Y7HK6EW	1	['B005PVXKC4']
A18VCM7Y7HK6EW	16	['B004AFVEOC']
A18VCM7Y7HK6EW	6	['B004KPLA9Q', 'B005LISQ0W']
A18VIIKMXYWJNB	1	['B0089E4050', 'B000LJU5E6']
A18VUCUEZBX7V5	0	['B00B4O7GIA']
A18VUCUEZBX7V5	1	['B00507HY70', 'B00B4O7GIA', 'B0092TQHP2']
A18VUCUEZBX7V5	4	['B002BSO4ZG']
A18VXZZI6AD07G	1	['B005Q4IPRU']
A18VXZZI6AD07G	12	['B005NKOUGW']
A18VXZZI6AD07G	47	['B0054TMBLS']
A18W0VT0DJXZKA	16	['B00BC0WNUC', 'B0009FCAJA', 'B00A29WCA0']
A18W3AAZOCI8TH	1	['B006H28IM2', 'B007PY653A']
A18W3AAZOCI8TH	28	['B00B1TNF7E']
A18W4IWY6W9RG2	1	['B0080MOT7K', 'B00400VOJ2', 'B006RXP6NU']
A18WO0ZL1O9LJX	10	['B00FYIB7EG']
A18WO0ZL1O9LJX	3	['B005HBGXR6']
A18WOQGTCJGOOU	1	['B00B087YQY', 'B005GL09CC']
A18WU2OL0NPM2F	1	['B00EV8Y50S']
A18WU2OL0NPM2F	12	['B005OTKTMQ']
A18XOHY5TP5G9I	1	['B00A6WWPAK', 'B00993E7PI', 'B005ZWC4N4']
A18XOHY5TP5G9I	19	['B00A6WWPAK']
A18XOHY5TP5G9I	23	['B00A6WWPAK']
A18XP93R629M0S	1	['B004T06A9W']
A18XYVCNR720UC	1	['B0056LGT44', 'B006USG7ZI', 'B0051XPLXC']
A18XYVCNR720UC	10	['B00J5OTUOY']
A18XYVCNR720UC	35	['B004LHXOH4']
A18XYVCNR720UC	52	['B00J5OTUOY']
A18Y0ZZBPP0GRV	1	['B0092TQHP2']
A18Y9FJ0RYY4OW	1	['B005SUHPO6', 'B004I53B8G']
